fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-01-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"8,6","0,0","7,2",23:32,"10,0",00:01,64.0,69.0,05:10,56.0,22:30
2021-01-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"7,6","0,0","4,6",07:01,"10,6",13:33,56.0,67.0,22:00,45.0,14:20
2021-01-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"7,6","0,0","4,7",08:18,"10,4",13:12,43.0,69.0,23:40,30.0,13:10
2021-01-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"7,8","0,0","3,9",03:06,"11,8",14:29,52.0,69.0,03:20,32.0,Varias
2021-01-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"7,1","0,0","4,0",23:39,"10,2",13:09,61.0,72.0,18:20,48.0,13:10
2021-01-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"7,0","1,4","3,7",06:24,"10,3",13:25,64.0,69.0,00:00,55.0,10:50
2021-01-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"6,6","0,0","5,5",04:40,"7,8",Varias,66.0,85.0,04:20,56.0,23:00
2021-01-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"5,9","4,8","3,7",07:10,"8,1",13:22,61.0,68.0,Varias,39.0,23:00
2021-01-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"6,4","10,4","4,6",03:47,"8,1",19:56,80.0,86.0,09:10,43.0,00:00
2021-01-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"7,4","2,6","6,3",Varias,"8,4",Varias,74.0,81.0,12:40,63.0,05:40
2021-01-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"6,6","0,0","3,9",23:32,"9,4",13:17,63.0,75.0,02:50,54.0,14:10
2021-01-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"7,2","0,0","3,6",04:10,"10,7",14:24,50.0,64.0,23:10,40.0,14:30
2021-01-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"9,0","0,0","4,8",03:13,"13,1",14:22,57.0,69.0,03:10,47.0,13:40
2021-01-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"9,6","0,0","6,2",07:39,"13,1",13:58,61.0,73.0,02:40,48.0,Varias
2021-01-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"9,6","0,0","6,2",01:49,"13,0",14:33,63.0,84.0,22:40,46.0,14:20
2021-01-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,5","0,0","6,0",01:22,"15,0",14:43,55.0,83.0,00:10,40.0,Varias
2021-01-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,8","0,0","7,1",01:42,"16,4",12:56,54.0,82.0,23:59,37.0,Varias
2021-01-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,2","0,0","7,8",03:47,"12,6",11:35,77.0,86.0,05:20,64.0,11:00
2021-01-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,4","0,0","7,7",06:28,"15,2",13:01,77.0,88.0,02:10,65.0,13:00
2021-01-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,0","0,0","10,3",00:01,"13,6",13:44,78.0,82.0,Varias,72.0,14:00
2021-01-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","0,0","8,9",05:09,"17,1",13:26,65.0,85.0,04:30,50.0,13:10
2021-01-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,8","4,4","10,2",09:18,"15,4",04:25,56.0,79.0,09:10,45.0,12:50
2021-01-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","0,0","9,7",04:23,"16,4",14:11,48.0,67.0,22:50,38.0,14:00
2021-01-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","0,0","11,1",Varias,"16,5",15:09,57.0,72.0,09:40,38.0,15:00
2021-01-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","0,0","10,5",22:11,"15,9",13:15,61.0,75.0,16:20,50.0,02:50
2021-01-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,4","0,0","9,4",01:21,"13,5",14:48,77.0,85.0,Varias,62.0,15:00
2021-01-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,0","0,0","9,5",03:51,"14,6",14:56,65.0,76.0,23:50,56.0,11:10
2021-01-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","0,0","10,3",06:19,"17,4",10:28,80.0,88.0,06:50,67.0,10:30
2021-01-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,6","0,0","12,2",02:14,"23,1",14:42,66.0,89.0,21:20,43.0,14:50
2021-01-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,8","0,0","11,8",23:48,"19,9",13:14,57.0,88.0,00:00,37.0,14:50
2021-01-31,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","0,2","11,6",05:45,"18,1",14:27,51.0,63.0,23:59,41.0,14:30
2021-02-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,2","0,0","13,2",00:24,"21,2",14:56,44.0,71.0,01:20,33.0,14:50
2021-02-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,0","0,0","13,4",07:23,"20,5",12:22,57.0,69.0,23:59,46.0,12:20
2021-02-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,8","0,0","8,6",03:19,"15,0",14:20,78.0,90.0,Varias,68.0,14:30
2021-02-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","0,2","11,6",00:01,"14,7",22:56,81.0,84.0,01:30,76.0,10:30
2021-02-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,5","7,2","12,3",18:43,"14,7",00:59,90.0,94.0,Varias,82.0,00:00
2021-02-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,6","0,0","13,1",Varias,"18,1",12:47,84.0,92.0,Varias,71.0,12:40
2021-02-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,4","0,0","12,3",23:09,"16,5",13:16,82.0,90.0,Varias,72.0,14:00
2021-02-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,3","0,0","12,0",21:46,"16,6",13:57,78.0,91.0,22:30,64.0,13:50
2021-02-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","11,0",23:54,"16,2",13:58,74.0,87.0,Varias,64.0,14:00
2021-02-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","0,0","10,0",03:49,"16,3",13:56,74.0,88.0,Varias,62.0,11:40
2021-02-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,5","0,0","10,9",06:46,"16,1",13:31,75.0,88.0,00:00,64.0,09:50
2021-03-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","12,1",06:25,"15,2",11:00,75.0,87.0,19:40,64.0,08:30
2021-03-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,0","0,0","12,6",05:31,"15,4",Varias,78.0,89.0,Varias,69.0,08:30
2021-03-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","0,0","12,1",23:45,"15,5",12:58,81.0,90.0,23:30,74.0,10:40
2021-03-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","0,0","11,5",05:40,"16,1",12:00,81.0,91.0,Varias,71.0,12:10
2021-03-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","0,0","10,8",05:48,"15,5",11:58,78.0,87.0,06:10,70.0,13:50
2021-03-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,8","0,0","11,0",03:13,"14,7",14:24,74.0,87.0,Varias,63.0,11:00
2021-03-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","1,6","11,7",08:42,"14,7",13:48,76.0,86.0,20:50,69.0,Varias
2021-03-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,3","0,8","10,9",23:45,"13,7",Varias,79.0,85.0,00:00,70.0,15:10
2021-03-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,0","10,3",02:04,"16,4",12:23,68.0,78.0,00:30,49.0,12:20
2021-03-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,3","0,0","9,0",06:40,"15,6",13:47,59.0,67.0,18:50,46.0,13:50
2021-03-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,9","0,0","10,0",01:37,"17,8",16:15,61.0,82.0,23:10,44.0,16:30
2021-03-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,0","11,1",22:44,"15,7",11:59,74.0,89.0,05:10,65.0,12:10
2021-03-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,0","0,0","10,6",06:25,"17,3",13:58,65.0,86.0,23:20,42.0,11:50
2021-03-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","10,6",02:06,"16,6",10:56,59.0,79.0,00:00,49.0,03:50
