fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-06-02,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,4","0,0","17,9",03:30,"22,9",14:00,99.0,"3,6","6,7",Varias,87,94,00:10,82,07:10
2021-06-03,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,6","0,0","18,6",04:50,"22,7",13:30,99.0,"4,7","7,5",Varias,89,93,Varias,87,06:50
2021-06-04,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,5","0,0","19,0",01:50,"22,0",14:10,8.0,"5,3","9,2",07:50,90,93,Varias,85,10:20
2021-06-05,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,6","0,7","18,3",Varias,"23,0",07:20,99.0,"2,5","6,7",Varias,80,93,Varias,69,21:40
2021-06-06,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,5","0,0","18,8",06:50,"24,2",10:20,22.0,"4,4","15,0",13:50,72,89,05:50,52,10:20
2021-06-07,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,6","0,0","18,0",04:40,"23,2",16:20,22.0,"3,6","8,9",16:10,78,91,Varias,58,16:10
2021-06-08,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,8","0,0","17,9",04:40,"23,7",10:50,99.0,"4,2","8,6",Varias,77,91,00:00,67,07:30
2021-06-09,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,7","0,1","19,5",03:40,"25,9",08:50,20.0,"2,5","5,6",14:10,76,91,17:00,53,20:10
2021-06-10,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,9","0,0","19,8",04:00,"28,0",14:00,22.0,"3,3","10,3",14:30,55,86,03:40,43,Varias
2021-06-11,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,6","0,0","21,0",02:20,"28,3",14:40,21.0,"2,5","5,3",13:40,53,86,19:20,45,12:10
2021-06-12,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,8","0,0","21,4",22:00,"30,2",08:50,22.0,"2,8","6,7",12:00,65,91,20:30,41,08:50
2021-06-13,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,6","0,0","22,5",03:20,"28,6",11:50,22.0,"2,8","9,2",17:10,57,69,03:10,45,21:40
2021-06-14,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,2","0,0","22,9",03:20,"29,6",07:40,20.0,"3,6","7,8",16:10,68,89,16:20,45,07:30
2021-06-15,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,2","0,0","21,8",05:20,"28,6",13:00,21.0,"2,5","5,8",14:20,60,87,21:40,47,13:50
2021-06-16,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,6","0,0","21,7",04:30,"27,5",11:00,8.0,"4,4","8,3",16:40,88,93,Varias,60,02:40
2021-06-17,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,2","0,0","21,6",23:59,"24,7",00:10,9.0,"7,8","13,9",06:30,91,93,Varias,67,00:00
2021-06-18,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,6","0,0","20,3",00:30,"26,9",15:30,12.0,"2,8","7,8",19:00,84,93,00:00,71,07:50
2021-06-19,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,1","0,0","22,1",02:20,"26,1",10:20,13.0,"3,3","6,4",19:20,89,92,Varias,78,23:59
2021-06-20,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,2","0,0","22,5",06:10,"27,8",12:00,23.0,"4,4","12,2",15:40,76,87,18:50,47,11:50
2021-06-21,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,8","0,0","21,8",03:40,"27,9",08:50,21.0,"5,8","11,1",12:50,64,88,02:50,43,07:50
2021-06-22,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,0","0,0","20,3",23:00,"25,7",14:40,13.0,"3,3","6,7",12:40,80,91,Varias,44,02:50
2021-06-23,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,8","1,0","17,6",10:00,"26,1",13:50,32.0,"3,1","10,8",Varias,64,89,10:10,51,13:40
2021-06-24,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,,"0,0",,,,,99.0,"3,6","6,7",06:40,63,91,20:30,50,09:00
2021-06-25,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,0","0,0","19,6",04:00,"24,3",07:50,20.0,"5,6","12,5",14:30,82,92,Varias,77,07:30
2021-06-26,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,8","0,0","20,3",02:50,"25,2",15:40,20.0,"5,0","10,0",12:20,80,92,Varias,58,16:40
2021-06-27,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,4","0,0","20,8",05:00,"25,9",14:00,20.0,"2,8","6,7",10:50,85,91,Varias,81,13:50
2021-06-28,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,1",,"20,3",04:30,"25,9",11:30,9.0,"3,3","8,9",20:00,84,93,19:40,69,06:30
2021-06-29,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,4","0,0","21,5",03:50,"25,2",09:20,14.0,"4,2","11,1",23:40,81,87,Varias,69,07:40
2021-06-30,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,4","0,0","21,6",04:10,"25,2",11:00,4.0,"4,7","9,7",17:50,78,91,Varias,68,Varias
2021-07-01,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,8","0,0","22,1",05:20,"25,5",17:50,99.0,"4,7","10,8",14:40,81,92,Varias,70,17:30
2021-07-02,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,4","0,0","21,9",03:10,"26,8",14:30,10.0,"4,4","10,8",15:40,78,92,00:00,66,14:30
2021-07-03,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,4","0,0","22,4",03:30,"26,4",08:00,2.0,"3,9","10,8",11:30,85,92,Varias,76,10:40
2021-07-04,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,4","0,0","21,9",23:40,"27,0",12:10,26.0,"5,8","13,1",12:20,85,92,Varias,71,07:50
2021-07-05,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,2","0,0","21,8",01:20,"26,7",07:20,19.0,"4,7","8,9",13:30,82,90,Varias,67,07:40
2021-07-06,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,2","0,0","21,7",23:30,"28,6",15:20,10.0,"4,4","8,3",18:40,88,91,Varias,49,23:59
2021-07-07,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,4","0,0","22,5",03:10,"26,4",08:30,20.0,"3,6","7,2",14:40,70,90,Varias,48,00:10
2021-07-08,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,9","0,0","18,9",03:40,"24,9",12:10,9.0,"5,6","12,8",03:20,80,91,02:30,62,12:00
2021-07-09,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,9","0,0","21,5",04:30,"26,3",14:00,21.0,"6,4","13,9",13:00,77,88,Varias,66,08:20
2021-07-10,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,4","0,0","22,4",03:00,"28,5",14:20,25.0,"5,0","16,7",15:00,66,89,Varias,47,16:50
2021-07-11,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,2","0,0","22,5",03:30,"27,9",10:40,16.0,"2,5","15,0",12:20,84,92,Varias,62,00:00
2021-07-12,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,0","0,0","22,6",23:10,"27,4",09:30,10.0,"5,8","11,4",11:40,84,91,Varias,38,23:59
